╔═══════════════════════════════════════════════════════╗
║   NodeFlux Multi-Node MySQL Monitor                   ║
║   Auto-discovers and monitors all MySQL containers    ║
╚═══════════════════════════════════════════════════════╝
InfluxDB: http://127.0.0.1:8086 | Org: capstone | Bucket: metrics
Poll: 1s | Discovery: 10s

[capstone_mysql_2] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/129088.8 KB/s | Net R/W: 64.3/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/125301.8 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.6% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 65.4/88.0 KB/s
[capstone_mysql_1] CPU: 1.5% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/123111.6 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/130064.6 KB/s | Net R/W: 0.0/88.3 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 4110.4/0.0 KB/s | Net R/W: 64.6/0.0 KB/s
[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 64.6/0.0 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/124084.7 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.5% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 66.3/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/128291.3 KB/s | Net R/W: 65.4/0.0 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 4017.6/0.0 KB/s | Net R/W: 0.0/85.8 KB/s
[capstone_mysql_1] CPU: 0.9% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/85.4 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/131089.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 67.5/0.0 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 4111.5/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/127706.0 KB/s | Net R/W: 0.0/88.2 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/87.1 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 4438.1/0.0 KB/s | Net R/W: 64.1/0.0 KB/s
[capstone_mysql_1] CPU: 0.8% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.5/91.3 KB/s
[capstone_mysql_2] CPU: 0.8% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
